               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11112,             0.02692,                   0,           0.0032638,            0.013605,          0.00056803,          0.00010441,             0.10086,            0.019509,                   0,             0.00032,             0.00032,             0.09712
                   1,            0.098297,            0.022756,                   0,            0.002193,             0.11565,          0.00095521,           0.0001968,            0.090138,            0.017552,                   0,          0.00059414,          0.00059414,            0.094094
                   2,            0.088767,            0.021684,                   0,           0.0031128,             0.12925,           0.0014025,          0.00029225,            0.088009,            0.016293,                   0,          0.00067528,          0.00067528,            0.090875
                   3,            0.081732,            0.021791,                   0,            0.015773,             0.10204,           0.0054821,           0.0010867,            0.076218,            0.017006,                   0,          0.00053833,          0.00053833,            0.087438
                   4,            0.076963,            0.021945,                   0,            0.012382,             0.10884,             0.00679,           0.0015144,            0.071227,            0.017126,                   0,          0.00030495,          0.00030495,            0.083905
