               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033268,           0.0084737,                   0,             0.88879,             0.81633,             0.88335,             0.41992,            0.040497,            0.007039,                   0,           0.0026316,           0.0026316,           0.0026316
                  38,            0.032589,            0.008473,                   0,             0.86749,             0.80952,             0.85894,             0.44361,            0.037409,           0.0066104,                   0,           0.0024195,           0.0024195,           0.0024195
                  39,            0.033174,           0.0087669,                   0,             0.88739,             0.91127,             0.91729,             0.44757,            0.037006,           0.0064128,                   0,           0.0022196,           0.0022196,           0.0022196
                  40,            0.031969,           0.0083954,                   0,              0.9452,             0.93876,             0.92877,             0.47978,             0.03652,           0.0062073,                   0,           0.0020327,           0.0020327,           0.0020327
                  41,            0.030908,            0.008493,                   0,             0.91992,             0.93878,             0.93058,               0.492,            0.035331,           0.0062579,                   0,           0.0018594,           0.0018594,           0.0018594
                  42,            0.030505,           0.0084621,                   0,             0.84077,             0.86395,              0.9054,             0.44068,            0.038743,           0.0069186,                   0,           0.0017005,           0.0017005,           0.0017005
                  43,            0.030544,           0.0082438,                   0,             0.93835,             0.93189,              0.9483,             0.49767,            0.035884,           0.0060636,                   0,           0.0015566,           0.0015566,           0.0015566
                  44,            0.030367,           0.0079065,                   0,             0.90598,             0.91837,             0.91575,             0.48822,            0.036027,           0.0062404,                   0,           0.0014283,           0.0014283,           0.0014283
                  45,            0.029956,           0.0077501,                   0,             0.91375,             0.93878,             0.92758,             0.50566,            0.035432,           0.0061437,                   0,            0.001316,            0.001316,            0.001316
                  46,            0.029194,           0.0075352,                   0,             0.91721,             0.90436,             0.92058,             0.48753,            0.036739,           0.0063348,                   0,           0.0012202,           0.0012202,           0.0012202
                  47,            0.029018,           0.0077901,                   0,             0.93563,             0.89116,             0.93343,             0.49068,            0.035935,           0.0061944,                   0,           0.0011414,           0.0011414,           0.0011414
                  48,            0.028484,           0.0074986,                   0,              0.9507,             0.91832,             0.93667,             0.49645,            0.034999,           0.0061321,                   0,           0.0010797,           0.0010797,           0.0010797
                  49,            0.028879,           0.0078886,                   0,              0.9375,             0.91833,             0.92402,             0.50557,            0.035521,           0.0061696,                   0,           0.0010355,           0.0010355,           0.0010355
